fila,codigo_a,item_b,codigo_a_norm,item_b_norm,clave_match,tipo_fila,tipo_ENE,tipo_FEB,formula_ENE,formula_FEB,codigo_a_repetido,codigo_a_repeticiones
43,51355001,"Transporte, fletes y acarreos",51355001,"TRANSPORTE, FLETES Y ACARREOS","43|51355001|TRANSPORTE, FLETES Y ACARREOS",detalle_con_codigo,formula,formula,='[12]Hoja 1'!$G$11,='[13]Hoja 1'!$G$11,NO,1
44,,Gas,,GAS,44||GAS,detalle_sin_codigo_o_titulo,blank,blank,,,,
45,51356501,Servicio Web-Hosting-Nube- Licencias Siesa y planeacion,51356501,SERVICIO WEB-HOSTING-NUBE- LICENCIAS SIESA Y PLANEACION,45|51356501|SERVICIO WEB-HOSTING-NUBE- LICENCIAS SIESA Y PLANEACION,detalle_con_codigo,formula,formula,='[9]Hoja 1'!$C$112+'[14]Hoja 1'!$C$70+'[15]Hoja 1'!$C$109+'[16]Hoja 1'!$D$133+'[17]Hoja 1'!$C$101,='[10]Hoja 1'!$C$117+'[10]Hoja 1'!$C$312+'[18]Hoja 1'!$C$92+'[19]Hoja 1'!$C$89+'[20]Hoja 1'!$C$97,NO,1
46,,GASTOS LEGALES,,GASTOS LEGALES,46||GASTOS LEGALES,subtotal_o_total,formula,formula,=SUM(C47:C51),=SUM(D47:D51),,
47,,Notariales,,NOTARIALES,47||NOTARIALES,detalle_sin_codigo_o_titulo,formula,blank,='[9]Hoja 1'!$C$115,,,
48,,Registro Mercantil y proponentes,,REGISTRO MERCANTIL Y PROPONENTES,48||REGISTRO MERCANTIL Y PROPONENTES,detalle_sin_codigo_o_titulo,blank,formula,,='[10]Hoja 1'!$C$120,,
49,,Tramites y Licencias,,TRAMITES Y LICENCIAS,49||TRAMITES Y LICENCIAS,detalle_sin_codigo_o_titulo,formula,blank,='[9]Hoja 1'!$C$117,,,
50,,Servicio de Registro BMC,,SERVICIO DE REGISTRO BMC,50||SERVICIO DE REGISTRO BMC,detalle_sin_codigo_o_titulo,blank,blank,,,,
51,514095,"Certificados Camara Comercio , proponentes y tradicion, JCC",514095,"CERTIFICADOS CAMARA COMERCIO , PROPONENTES Y TRADICION, JCC","51|514095|CERTIFICADOS CAMARA COMERCIO , PROPONENTES Y TRADICION, JCC",detalle_con_codigo,formula,formula,='[9]Hoja 1'!$C$118,='[10]Hoja 1'!$C$121,NO,1
52,,MANTENIMIENTO Y REPARACIONES,,MANTENIMIENTO Y REPARACIONES,52||MANTENIMIENTO Y REPARACIONES,subtotal_o_total,formula,formula,=SUM(C53:C58),=SUM(D53:D58),,
