fila;codigo_a;item_b;referencias_ENE;referencias_FEB
94;51956002;Donaciones;[ESTADO DE RESULTADOS_CHVS_ENE_2026.xls]Hoja 1!$C$146;[ESTADO DE RESULTADOS_CHVS_FEB_2026.xls]Hoja 1!$C$148
95;53954001;Ajuste al peso;[ESTADO DE RESULTADOS_CHVS_ENE_2026.xls]Hoja 1!$C$182;[ESTADO DE RESULTADOS_CHVS_FEB_2026.xls]Hoja 1!$C$186
99;530505;Gastos Bancarios;[ESTADO DE RESULTADOS_CHVS_ENE_2026.xls]Hoja 1!$C$164;[ESTADO DE RESULTADOS_CHVS_FEB_2026.xls]Hoja 1!$C$167
100;530515;Comisiones;[ESTADO DE RESULTADOS_CHVS_ENE_2026.xls]Hoja 1!$C$167;[ESTADO DE RESULTADOS_CHVS_FEB_2026.xls]Hoja 1!$C$170
101;53052001;Intereses Corrientes Obligaciones;[ESTADO DE RESULTADOS_CHVS_ENE_2026.xls]Hoja 1!$C$172;[ESTADO DE RESULTADOS_CHVS_FEB_2026.xls]Hoja 1!$C$175
102;53052002;Intereses Moratorios;[ESTADO DE RESULTADOS_CHVS_ENE_2026.xls]Hoja 1!$C$173;
104;53052004;Intereses corrientes Leasing;;[ESTADO DE RESULTADOS_CHVS_FEB_2026.xls]Hoja 1!$C$176
105;53059502;Seguro Credito Leasing;;
106;51159502;Gravámen a Movimientos Financieros;[ESTADO DE RESULTADOS_CHVS_ENE_2026.xls]Hoja 1!$C$82 | [ESTADO DE RESULTADOS_CHVS_ENE_2026.xls]Hoja 1!$C$175;[ESTADO DE RESULTADOS_CHVS_FEB_2026.xls]Hoja 1!$C$81 | [ESTADO DE RESULTADOS_CHVS_FEB_2026.xls]Hoja 1!$C$180
107;530595;Otros;[ESTADO DE RESULTADOS_CHVS_ENE_2026.xls]Hoja 1!$C$177;
